Data,Wave
0.5824176073074341,865.11
0.5714285969734192,868.43
0.5625,871.75
0.6464646458625793,875.07
0.6380952596664429,878.39
0.5,881.71
0.5272727012634277,885.03
0.6428571343421936,888.35
0.574999988079071,891.67
0.5454545617103577,894.99
0.5859375,898.31
0.5426356792449951,901.63
0.5514705777168274,904.95
0.5869565010070801,908.27
0.6137930750846863,911.59
0.6339869499206543,914.91
0.6127167344093323,918.23
0.5868544578552246,921.55
0.5436241626739502,924.87
0.5302325487136841,928.19
0.5354838967323303,931.51
0.5144578218460083,934.83
0.47922998666763306,938.15
0.508571445941925,941.47
0.5028777122497559,944.79
0.4956810772418976,948.11
0.5015537738800049,951.43
0.5,954.75
0.5011481046676636,958.07
0.4971396028995514,961.39
0.49369171261787415,964.71
0.4986376166343689,968.03
0.5060943365097046,971.35
0.49683210253715515,974.67
0.5015384554862976,977.99
0.510056734085083,981.31
0.503496527671814,984.63
0.5077928900718689,987.95
0.5107843279838562,991.27
0.5145822763442993,994.59
0.510566771030426,997.91
0.5085075497627258,1001.23
0.5120910406112671,1004.55
0.5136792659759521,1007.87
0.5115633606910706,1011.19
0.5159796476364136,1014.51
0.5182844400405884,1017.83
0.5211652517318726,1021.15
0.5201060771942139,1024.47
0.5206208229064941,1027.79
0.5218709111213684,1031.11
0.5239327549934387,1034.43
0.5223817825317383,1037.75
0.5218855142593384,1041.07
0.5231214165687561,1044.39
0.5261845588684082,1047.71
0.5306785702705383,1051.03
0.5306204557418823,1054.35
0.5297855734825134,1057.67
0.5281745791435242,1060.99
0.5315420627593994,1064.31
0.5293888449668884,1067.63
0.5299732685089111,1070.95
0.5272520780563354,1074.27
0.5346607565879822,1077.59
0.5294771790504456,1080.91
0.5298181772232056,1084.23
0.5315577983856201,1087.55
0.5289520621299744,1090.87
0.5277777910232544,1094.19
0.5321354269981384,1097.51
0.5330998301506042,1100.83
0.5323569774627686,1104.15
0.531367838382721,1107.47
0.5294316411018372,1110.79
0.5316285490989685,1114.11
0.5278497338294983,1117.43
0.5264026522636414,1120.75
0.5216408371925354,1124.07
0.5183044075965881,1127.39
0.519194483757019,1130.71
0.5172304511070251,1134.03
0.516109049320221,1137.35
0.5132028460502625,1140.67
0.5140441060066223,1143.99
0.5099297165870667,1147.31
0.5128432512283325,1150.63
0.5153777003288269,1153.95
0.508941650390625,1157.27
0.510282039642334,1160.59
